,Unnamed: 0,Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Y,RAM latency,% defective devices (from 1000 pc),QDR benchamrk
31,31,Lenovo,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,11.4,1.7,Linux,3584.25,8.2,10.2,1249.0
32,32,HP,Intel i3,64,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,4.9,1.99,Linux,1878.4,7.5,13.78,1041.0
33,33,Dell,AMD Ryzen 5,32,2TB SSD,Nvidia GTX 1650,15.6,1920x1080,9.1,3.01,Windows,1834.21,7.5,12.25,750.0
34,34,MSI,Intel i3,64,1TB SSD,Nvidia RTX 2060,15.6,2560x1440,8.3,3.47,Linux,3390.88,8.1,13.49,1392.0
35,35,Acer,AMD Ryzen 5,8,512GB SSD,AMD Radeon RX 6800,15.6,3840x2160,6.2,1.68,Linux,1923.02,7.6,9.19,1119.0
36,36,Samsung,AMD Ryzen 9,32,2TB SSD,Nvidia RTX 3060,14.0,1920x1080,5.4,2.6,macOS,2601.32,7.9,12.35,841.0
37,37,Dell,AMD Ryzen 9,32,2TB SSD,AMD Radeon RX 6800,13.3,1920x1080,7.2,3.32,FreeDOS,2770.48,7.9,6.5,1005.0
38,38,MSI,Intel i9,16,1TB SSD,Nvidia GTX 1650,13.3,1920x1080,7.5,2.08,macOS,2516.31,7.8,8.95,1020.0
39,39,Microsoft,Intel i3,8,2TB SSD,Nvidia RTX 2060,15.6,2560x1440,5.0,3.48,macOS,1083.11,7.0,10.84,1590.0
40,40,Samsung,Intel i9,32,1TB SSD,Integrated,16.0,3840x2160,7.6,1.32,FreeDOS,3323.89,8.1,10.74,1447.0
41,41,Asus,AMD Ryzen 5,4,512GB SSD,Nvidia GTX 1650,16.0,3840x2160,11.6,3.38,FreeDOS,1759.04,7.5,13.43,972.0
42,42,Dell,AMD Ryzen 5,4,1TB SSD,Nvidia RTX 3060,13.3,1920x1080,8.0,2.69,macOS,990.18,6.9,7.05,2028.0
43,43,Apple,Intel i9,32,2TB SSD,Nvidia GTX 1650,17.3,2560x1440,5.7,1.83,Windows,5373.59,8.6,10.71,2055.0
44,44,Acer,Intel i7,16,256GB SSD,Integrated,16.0,2560x1440,6.6,3.39,Linux,1332.62,7.2,10.21,941.0
45,45,Microsoft,AMD Ryzen 3,32,512GB SSD,Nvidia GTX 1650,16.0,1366x768,11.3,1.83,FreeDOS,1161.02,7.1,7.27,717.0
46,46,Lenovo,Intel i5,16,1TB SSD,Nvidia GTX 1650,16.0,3840x2160,10.0,2.07,macOS,2256.02,7.7,11.88,1881.0
47,47,MSI,Intel i9,16,1TB SSD,Integrated,17.3,3840x2160,10.3,3.16,Windows,3116.24,8.0,12.03,1153.0
48,48,Acer,AMD Ryzen 9,16,2TB SSD,Integrated,14.0,2560x1440,4.5,2.09,FreeDOS,1748.58,7.5,4.89,1202.0
49,49,Asus,Intel i5,64,512GB SSD,Nvidia RTX 3060,14.0,1920x1080,10.3,1.4,Windows,2521.5,7.8,12.49,1368.0
50,50,HP,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 2060,16.0,2560x1440,9.6,3.2,FreeDOS,3493.59,8.2,11.25,1328.0
51,51,HP,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3060,17.3,1366x768,11.1,2.2,macOS,1298.68,7.2,12.35,1488.0
52,52,HP,AMD Ryzen 5,64,512GB SSD,Integrated,16.0,2560x1440,5.9,3.24,FreeDOS,2280.87,7.7,6.69,1607.0
53,53,Asus,Intel i3,8,256GB SSD,Nvidia GTX 1650,14.0,1366x768,4.8,1.48,macOS,765.95,6.6,5.72,1181.0
54,54,Asus,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6800,16.0,1920x1080,7.5,2.53,Windows,3217.82,8.1,8.92,613.0
55,55,Lenovo,Intel i3,16,512GB SSD,AMD Radeon RX 6800,16.0,1920x1080,4.6,2.32,Windows,1261.48,7.1,8.48,1516.0
56,56,Asus,AMD Ryzen 9,8,1TB HDD,AMD Radeon RX 6800,13.3,2560x1440,8.2,2.15,FreeDOS,1866.8,7.5,9.76,1443.0
57,57,Lenovo,Intel i7,4,256GB SSD,Integrated,13.3,3840x2160,7.8,1.23,macOS,1377.57,7.2,7.11,541.0
58,58,Asus,AMD Ryzen 7,8,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,8.1,2.06,macOS,2031.19,7.6,6.85,747.0
59,59,MSI,AMD Ryzen 3,16,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,6.2,1.22,macOS,2139.88,7.7,10.9,1530.0
60,60,Lenovo,Intel i3,64,256GB SSD,Nvidia RTX 3080,17.3,2560x1440,5.3,3.22,Linux,2751.07,7.9,16.85,1200.0
61,61,Lenovo,Intel i7,4,2TB SSD,Integrated,16.0,3840x2160,6.2,2.52,Windows,1524.94,7.3,7.87,1336.0
62,62,Acer,AMD Ryzen 3,32,2TB SSD,AMD Radeon RX 6800,17.3,2560x1440,6.3,2.12,Windows,1930.67,7.6,12.65,1629.0
63,63,Asus,AMD Ryzen 7,8,1TB HDD,Nvidia RTX 3080,16.0,1920x1080,7.8,1.67,macOS,1267.84,7.1,7.37,1192.0
64,64,Apple,Intel i5,64,512GB SSD,Nvidia RTX 3080,14.0,3840x2160,10.9,2.25,Windows,5768.75,8.7,8.56,1968.0
65,65,Dell,AMD Ryzen 3,8,512GB SSD,Nvidia RTX 3060,13.3,2560x1440,4.3,2.5,macOS,951.4,6.9,5.67,850.0
66,66,Samsung,AMD Ryzen 5,8,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,9.4,2.01,Linux,625.2,6.4,10.44,1150.0
67,67,Microsoft,Intel i9,16,512GB SSD,Nvidia GTX 1650,17.3,1920x1080,4.4,1.87,FreeDOS,2113.77,7.7,13.54,1775.0
68,68,HP,AMD Ryzen 7,4,2TB SSD,Nvidia GTX 1650,15.6,1920x1080,9.7,1.9,FreeDOS,1310.03,7.2,7.75,839.0
69,69,Microsoft,AMD Ryzen 7,32,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,7.0,1.44,macOS,3286.45,8.1,3.61,1324.0
70,70,HP,AMD Ryzen 9,8,256GB SSD,Nvidia GTX 1650,14.0,2560x1440,5.1,1.76,Windows,2080.79,7.6,9.73,1151.0
71,71,Asus,Intel i5,16,1TB SSD,Nvidia GTX 1650,16.0,1920x1080,6.6,3.11,macOS,1278.54,7.2,8.81,1780.0
72,72,Razer,Intel i9,16,256GB SSD,Integrated,14.0,3840x2160,4.6,2.47,FreeDOS,2996.04,8.0,6.35,1557.0
73,73,HP,Intel i7,4,1TB HDD,Nvidia GTX 1650,16.0,1366x768,10.1,1.57,Windows,871.35,6.8,13.29,1070.0
74,74,Acer,Intel i3,64,512GB SSD,AMD Radeon RX 6600,15.6,2560x1440,11.2,2.55,Linux,2768.44,7.9,10.81,998.0
75,75,Microsoft,Intel i7,32,256GB SSD,AMD Radeon RX 6800,17.3,3840x2160,4.3,1.72,Linux,3745.39,8.2,10.31,822.0
76,76,Dell,Intel i9,32,1TB HDD,Nvidia RTX 2060,14.0,3840x2160,6.1,3.06,macOS,3556.24,8.2,11.42,1219.0
77,77,Asus,AMD Ryzen 5,4,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,7.8,3.06,macOS,782.66,6.7,6.75,999.0
78,78,Samsung,Intel i3,8,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,7.2,2.54,FreeDOS,863.34,6.8,8.24,1621.0
79,79,MSI,Intel i3,8,512GB SSD,AMD Radeon RX 6600,13.3,3840x2160,5.9,1.33,macOS,1784.77,7.5,10.65,1366.0
80,80,Lenovo,Intel i3,4,1TB SSD,Nvidia RTX 3060,16.0,2560x1440,7.2,3.43,macOS,1164.94,7.1,5.85,984.0
81,81,Microsoft,Intel i3,8,1TB HDD,Nvidia GTX 1650,14.0,3840x2160,9.6,1.83,Windows,1247.91,7.1,8.74,1251.0
82,82,Asus,Intel i9,32,512GB SSD,Nvidia RTX 2060,16.0,1366x768,8.3,2.8,Windows,2480.96,7.8,11.5,1458.0
83,83,Acer,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 2060,13.3,1366x768,10.7,1.84,macOS,1159.62,7.1,8.1,1127.0
84,84,Asus,AMD Ryzen 7,16,2TB SSD,Nvidia RTX 3080,15.6,2560x1440,4.7,1.46,Windows,1947.07,7.6,7.31,1297.0
85,85,Microsoft,Intel i7,32,2TB SSD,AMD Radeon RX 6600,16.0,1920x1080,11.8,1.48,FreeDOS,2113.62,7.7,12.01,836.0
86,86,Acer,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 2060,17.3,1366x768,9.9,1.69,Windows,1486.61,7.3,10.45,987.0
87,87,Apple,AMD Ryzen 9,4,2TB SSD,Integrated,13.3,2560x1440,11.2,1.61,Windows,1804.49,7.5,9.79,1278.0
88,88,Lenovo,AMD Ryzen 5,4,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,11.2,3.02,FreeDOS,691.35,6.5,10.83,1799.0
89,89,Asus,AMD Ryzen 5,8,1TB SSD,Nvidia RTX 3080,13.3,1366x768,8.5,1.42,FreeDOS,789.61,6.7,6.61,1921.0
90,90,Razer,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,4.1,1.44,Linux,2312.14,7.7,9.48,1142.0
91,91,Dell,AMD Ryzen 5,32,2TB SSD,Nvidia RTX 3060,16.0,1920x1080,4.2,1.52,macOS,1748.97,7.5,8.91,1636.0
92,92,Apple,Intel i9,16,1TB HDD,AMD Radeon RX 6800,16.0,2560x1440,9.4,2.65,FreeDOS,3428.94,8.1,6.85,1052.0
93,93,Dell,AMD Ryzen 3,8,1TB SSD,Nvidia RTX 3060,14.0,3840x2160,9.4,1.69,macOS,1340.49,7.2,9.09,705.0
94,94,Asus,Intel i5,16,1TB SSD,Nvidia RTX 3060,15.6,3840x2160,6.4,3.31,macOS,2120.59,7.7,11.23,1337.0
95,95,Apple,AMD Ryzen 3,32,2TB SSD,Nvidia RTX 3080,15.6,3840x2160,8.6,2.55,macOS,3496.93,8.2,7.41,1382.0
96,96,Samsung,Intel i3,8,256GB SSD,Nvidia RTX 3080,17.3,1920x1080,10.1,2.45,Linux,972.19,6.9,11.55,1117.0
97,97,Lenovo,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,14.0,2560x1440,11.5,1.51,macOS,3038.1,8.0,12.91,1170.0
98,98,Asus,AMD Ryzen 7,64,1TB SSD,Nvidia RTX 3080,17.3,1366x768,7.9,1.77,Windows,2793.54,7.9,16.76,644.0
99,99,Asus,Intel i7,64,256GB SSD,Nvidia RTX 3060,15.6,1366x768,10.5,2.43,Windows,2821.78,7.9,10.98,1795.0
100,100,Apple,Intel i5,32,1TB SSD,Integrated,17.3,1366x768,7.1,1.73,Windows,1548.95,7.3,5.77,1371.0
101,101,Dell,AMD Ryzen 5,4,1TB SSD,Integrated,15.6,2560x1440,11.8,3.45,FreeDOS,962.25,6.9,13.22,865.0
102,102,Razer,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3080,16.0,3840x2160,10.7,1.7,macOS,5173.63,8.6,8.21,1268.0
103,103,Dell,Intel i5,64,256GB SSD,AMD Radeon RX 6600,14.0,1920x1080,10.1,1.78,FreeDOS,2240.32,7.7,10.16,482.0
104,104,MSI,AMD Ryzen 3,16,512GB SSD,AMD Radeon RX 6800,17.3,3840x2160,10.8,2.82,Windows,2354.8,7.8,9.9,1086.0
105,105,Acer,Intel i7,8,256GB SSD,Nvidia RTX 3080,15.6,3840x2160,5.8,1.52,macOS,2358.06,7.8,6.53,1399.0
106,106,HP,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6800,14.0,3840x2160,6.7,1.48,Linux,4813.04,8.5,11.02,1753.0
107,107,MSI,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,10.8,3.22,FreeDOS,2792.77,7.9,12.61,1308.0
108,108,Microsoft,Intel i3,32,1TB SSD,Nvidia RTX 3060,17.3,3840x2160,4.5,2.95,Linux,2567.52,7.9,11.54,1473.0
109,109,HP,Intel i3,8,256GB SSD,Nvidia RTX 3060,17.3,1920x1080,5.3,1.97,FreeDOS,914.84,6.8,10.94,1155.0
110,110,Microsoft,Intel i7,4,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,11.0,2.44,Windows,1602.39,7.4,10.05,1316.0
111,111,Microsoft,AMD Ryzen 9,64,256GB SSD,Integrated,17.3,1920x1080,9.5,2.99,Linux,2922.91,8.0,15.3,876.0
112,112,HP,AMD Ryzen 3,8,256GB SSD,Nvidia GTX 1650,16.0,1920x1080,11.0,2.82,FreeDOS,873.57,6.8,10.2,928.0
113,113,MSI,Intel i3,4,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,5.5,1.38,FreeDOS,1119.51,7.0,2.62,1866.0
114,114,Lenovo,Intel i9,32,256GB SSD,Nvidia GTX 1650,15.6,3840x2160,9.2,1.61,FreeDOS,4857.55,8.5,7.32,1098.0
115,115,MSI,AMD Ryzen 5,8,1TB HDD,Integrated,16.0,3840x2160,5.8,2.48,macOS,1407.17,7.2,16.48,1046.0
116,116,Lenovo,Intel i7,4,2TB SSD,AMD Radeon RX 6800,16.0,1366x768,5.4,1.75,Windows,938.96,6.8,7.33,1208.0
117,117,Asus,AMD Ryzen 5,4,2TB SSD,Nvidia RTX 3060,17.3,3840x2160,9.2,3.3,Linux,1565.19,7.4,12.49,1964.0
118,118,Lenovo,AMD Ryzen 3,64,256GB SSD,AMD Radeon RX 6600,13.3,3840x2160,10.9,1.99,FreeDOS,3422.47,8.1,7.02,1145.0
119,119,Samsung,AMD Ryzen 3,64,512GB SSD,Nvidia GTX 1650,14.0,2560x1440,7.5,1.91,Linux,2478.83,7.8,3.85,1721.0
120,120,Razer,AMD Ryzen 9,16,1TB SSD,Nvidia RTX 3060,16.0,1920x1080,10.5,1.88,FreeDOS,3180.88,8.1,11.16,1099.0
121,121,Microsoft,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,5.7,2.82,Linux,1696.83,7.4,11.18,1283.0
122,122,Asus,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3060,15.6,3840x2160,10.6,1.81,FreeDOS,2687.06,7.9,8.47,1637.0
123,123,HP,Intel i3,4,1TB HDD,AMD Radeon RX 6600,14.0,2560x1440,4.9,2.04,macOS,922.21,6.8,12.54,1331.0
124,124,Razer,Intel i3,32,1TB HDD,AMD Radeon RX 6600,14.0,1920x1080,4.9,3.2,FreeDOS,1489.43,7.3,10.05,1087.0
125,125,Razer,AMD Ryzen 7,64,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,10.1,2.8,Linux,5766.77,8.7,13.65,493.0
126,126,Asus,AMD Ryzen 3,32,1TB SSD,Nvidia RTX 3080,16.0,3840x2160,4.4,1.75,Windows,2490.41,7.8,6.26,1531.0
127,127,MSI,Intel i9,64,512GB SSD,Integrated,17.3,2560x1440,4.7,1.38,FreeDOS,4705.97,8.5,9.22,1383.0
128,128,Lenovo,Intel i7,64,512GB SSD,AMD Radeon RX 6800,16.0,2560x1440,8.0,2.14,macOS,4036.38,8.3,9.67,1482.0
129,129,MSI,AMD Ryzen 3,4,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,6.5,1.89,Windows,1261.77,7.1,10.81,1464.0
130,130,Samsung,AMD Ryzen 5,8,1TB HDD,Integrated,17.3,1366x768,11.0,2.66,Linux,620.44,6.4,13.7,1170.0
131,131,HP,Intel i5,32,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,7.4,2.7,Linux,2500.94,7.8,10.67,1560.0
132,132,Lenovo,Intel i9,32,2TB SSD,Nvidia RTX 2060,15.6,1366x768,10.9,3.17,Windows,2431.14,7.8,10.02,1198.0
133,133,Asus,Intel i5,4,1TB SSD,Nvidia RTX 3080,14.0,2560x1440,11.5,3.43,macOS,1217.24,7.1,6.58,875.0
134,134,MSI,Intel i5,4,512GB SSD,AMD Radeon RX 6800,16.0,1366x768,5.8,2.4,Linux,954.65,6.9,9.89,373.0
135,135,HP,AMD Ryzen 5,8,1TB SSD,Nvidia GTX 1650,17.3,1920x1080,5.7,3.07,FreeDOS,1250.43,7.1,5.87,1377.0
136,136,Acer,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3060,17.3,2560x1440,6.3,1.37,Windows,3401.59,8.1,10.55,964.0
137,137,HP,AMD Ryzen 7,64,1TB SSD,Integrated,13.3,1920x1080,4.3,1.31,FreeDOS,2041.37,7.6,5.11,622.0
138,138,Lenovo,Intel i9,64,1TB SSD,Nvidia RTX 3080,13.3,2560x1440,10.3,2.99,macOS,4995.89,8.5,8.11,705.0
139,139,HP,AMD Ryzen 7,4,1TB HDD,Nvidia GTX 1650,15.6,1366x768,7.1,2.63,macOS,777.38,6.7,12.29,214.0
140,140,Acer,Intel i5,8,2TB SSD,AMD Radeon RX 6800,16.0,3840x2160,11.7,3.27,Windows,1969.19,7.6,7.8,834.0
141,141,Apple,Intel i5,8,256GB SSD,Nvidia RTX 2060,14.0,3840x2160,5.2,2.1,Linux,2607.44,7.9,4.67,830.0
142,142,Microsoft,Intel i9,16,1TB HDD,Nvidia RTX 3060,15.6,1920x1080,11.3,1.81,macOS,1776.13,7.5,12.24,955.0
143,143,Microsoft,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 3080,13.3,1920x1080,11.8,1.28,Linux,2721.4,7.9,9.57,1486.0
144,144,HP,AMD Ryzen 5,16,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,8.9,1.75,Windows,1016.16,6.9,13.6,1234.0
145,145,Acer,AMD Ryzen 3,4,1TB SSD,Integrated,15.6,1920x1080,7.8,1.66,FreeDOS,590.45,6.4,9.82,1621.0
146,146,Razer,Intel i9,8,1TB SSD,Nvidia RTX 2060,15.6,1920x1080,8.7,2.78,Linux,2549.6,7.8,9.9,1579.0
147,147,Asus,AMD Ryzen 3,32,512GB SSD,Nvidia RTX 2060,17.3,1920x1080,11.9,1.63,FreeDOS,1609.14,7.4,10.54,1505.0
148,148,Acer,AMD Ryzen 7,64,2TB SSD,AMD Radeon RX 6800,16.0,3840x2160,6.5,2.09,Linux,5483.75,8.6,9.87,1004.0
149,149,Dell,AMD Ryzen 3,8,1TB SSD,Nvidia RTX 3060,15.6,1366x768,5.5,1.28,Linux,728.2,6.6,9.55,1188.0
150,150,Acer,Intel i3,4,1TB SSD,Nvidia GTX 1650,13.3,1366x768,8.9,3.45,Windows,545.58,6.3,10.2,1680.0
151,151,Apple,Intel i5,16,512GB SSD,Integrated,17.3,1366x768,11.6,2.83,Linux,1092.08,7.0,6.27,1287.0
152,152,Razer,Intel i3,8,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,11.7,1.76,FreeDOS,1641.64,7.4,12.73,1485.0
153,153,Razer,Intel i9,16,512GB SSD,Nvidia RTX 3080,17.3,1920x1080,4.5,2.85,FreeDOS,3066.57,8.0,3.86,1551.0
154,154,Samsung,AMD Ryzen 9,32,512GB SSD,Integrated,15.6,1366x768,6.4,3.01,Linux,1735.86,7.5,10.45,972.0
155,155,Asus,AMD Ryzen 9,8,512GB SSD,Nvidia RTX 3080,14.0,3840x2160,8.0,1.77,Windows,2895.86,8.0,8.75,842.0
156,156,Samsung,AMD Ryzen 9,4,1TB HDD,AMD Radeon RX 6600,14.0,3840x2160,4.4,2.52,macOS,2072.73,7.6,8.31,1015.0
157,157,Dell,AMD Ryzen 7,16,2TB SSD,Nvidia GTX 1650,14.0,1366x768,4.6,3.22,FreeDOS,1178.4,7.1,8.48,1597.0
158,158,Apple,AMD Ryzen 9,16,1TB SSD,AMD Radeon RX 6600,13.3,3840x2160,11.4,1.79,FreeDOS,4918.11,8.5,12.25,1008.0
159,159,Microsoft,AMD Ryzen 5,64,512GB SSD,Nvidia GTX 1650,17.3,3840x2160,11.4,2.12,Windows,4348.8,8.4,13.2,1184.0
160,160,Samsung,AMD Ryzen 3,4,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,6.6,2.82,macOS,734.88,6.6,7.38,1107.0
161,161,Razer,Intel i5,4,512GB SSD,AMD Radeon RX 6800,16.0,1920x1080,6.6,2.83,Windows,1369.42,7.2,9.21,1664.0
162,162,Acer,AMD Ryzen 3,64,1TB SSD,Integrated,15.6,3840x2160,7.6,1.8,FreeDOS,2531.45,7.8,11.75,1636.0
163,163,Samsung,Intel i7,16,2TB SSD,Nvidia RTX 2060,17.3,2560x1440,10.4,1.42,Windows,2018.16,7.6,11.16,577.0
164,164,Acer,Intel i9,32,512GB SSD,Integrated,15.6,1366x768,11.6,2.55,Windows,1633.4,7.4,6.13,1874.0
165,165,Lenovo,AMD Ryzen 7,4,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,10.4,3.1,Windows,1528.92,7.3,10.14,1380.0
166,166,Microsoft,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3080,13.3,3840x2160,7.9,1.85,Windows,3845.91,8.3,5.94,1457.0
167,167,Apple,AMD Ryzen 5,16,256GB SSD,Nvidia RTX 3080,15.6,1920x1080,9.8,1.45,macOS,1864.34,7.5,12.3,816.0
168,168,Apple,AMD Ryzen 3,16,1TB SSD,Integrated,17.3,3840x2160,9.2,1.94,Linux,1828.29,7.5,8.51,1765.0
169,169,Apple,Intel i3,64,512GB SSD,AMD Radeon RX 6600,14.0,2560x1440,7.0,1.35,FreeDOS,3838.22,8.3,17.33,1425.0
170,170,Razer,AMD Ryzen 3,32,512GB SSD,Nvidia RTX 3060,16.0,2560x1440,5.8,1.86,FreeDOS,2475.0,7.8,5.06,972.0
171,171,Microsoft,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 2060,13.3,3840x2160,12.0,2.5,Windows,2631.83,7.9,6.23,848.0
172,172,Samsung,Intel i3,4,2TB SSD,Integrated,17.3,1920x1080,11.5,3.29,Windows,462.82,6.1,9.7,1188.0
173,173,Dell,AMD Ryzen 7,16,2TB SSD,AMD Radeon RX 6600,13.3,1366x768,9.4,2.42,FreeDOS,1381.3,7.2,11.83,1158.0
174,174,Razer,AMD Ryzen 9,4,512GB SSD,AMD Radeon RX 6600,16.0,1920x1080,6.5,2.32,macOS,2225.01,7.7,9.7,1800.0
175,175,Acer,Intel i9,64,1TB SSD,Integrated,15.6,1920x1080,8.3,3.06,macOS,2970.68,8.0,9.91,365.0
176,176,Asus,AMD Ryzen 3,64,256GB SSD,AMD Radeon RX 6600,14.0,1366x768,11.1,3.26,FreeDOS,1697.07,7.4,12.03,1310.0
177,177,Acer,AMD Ryzen 3,32,1TB HDD,Nvidia RTX 3060,17.3,1920x1080,7.1,1.41,FreeDOS,1321.09,7.2,8.41,1241.0
